streamlit_key,risk_level_text,year,disease_class,disease,region,cases,population,incidence_100k,disease_score,case_trend_score,weather_or_habitat,habitat_en,tick_count,tick_score,tick_source_year,tick_data_match_type,final_risk_score,risk_level_code,env_source_url,note
string,string,continuous,continuous,라임병 중증열성혈소판감소증후군(SFTS) 쯔쯔가무시증,강원 경기 경남 경북 광주 대구 대전 부산 서울 세종 울산 인천 전남 전북 제주 충남 충북,continuous,continuous,continuous,continuous,continuous,무덤 산길 잡목림 초지,Copse/Woodland Grassland Grave Mountain\ road,continuous,continuous,continuous,exact_year latest_available_proxy,continuous,continuous,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15 https://neweng-phwr.inforang.com/journal/view.html?number=33&spage=1406&volume=17 https://pdfs.semanticscholar.org/6342/0fd8726773d7041a1f582d676c4b8f8a3ac9.pdf https://www.djcidc.or.kr/bbsDown/dataBoard_new/2023091493767694428.pdf,질병\ 60%\ +\ 환경별\ 진드기점수\ 40%로\ 계산 질병\ 60%\ +\ 환경별\ 진드기점수\ 40%로\ 계산;\ 2025년\ 환경자료\ 없음:\ 2024년\ 환경별\ tick_score\ 대체\ 사용
meta,meta,,,,,,,,,,,,,,,,,,,
2021|라임병|서울|무덤,양호,2021,3,라임병,서울,2,9509458,0.0210,66.67,,무덤,Grave,10176,0.00,2021,exact_year,40.002,2,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|서울|산길,보통,2021,3,라임병,서울,2,9509458,0.0210,66.67,,산길,Mountain road,13580,20.63,2021,exact_year,48.254,3,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|서울|잡목림,보통,2021,3,라임병,서울,2,9509458,0.0210,66.67,,잡목림,Copse/Woodland,17108,42.01,2021,exact_year,56.806,3,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|서울|초지,매우 나쁨,2021,3,라임병,서울,2,9509458,0.0210,66.67,,초지,Grassland,26676,100.00,2021,exact_year,80.002,5,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|부산|무덤,매우 좋음,2021,3,라임병,부산,0,3350380,0.0000,0.00,,무덤,Grave,10176,0.00,2021,exact_year,0,0,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|부산|산길,매우 좋음,2021,3,라임병,부산,0,3350380,0.0000,0.00,,산길,Mountain road,13580,20.63,2021,exact_year,8.252,0,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|부산|잡목림,좋음,2021,3,라임병,부산,0,3350380,0.0000,0.00,,잡목림,Copse/Woodland,17108,42.01,2021,exact_year,16.804,1,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|부산|초지,양호,2021,3,라임병,부산,0,3350380,0.0000,0.00,,초지,Grassland,26676,100.00,2021,exact_year,40,2,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|대구|무덤,매우 좋음,2021,3,라임병,대구,0,2385412,0.0000,0.00,,무덤,Grave,10176,0.00,2021,exact_year,0,0,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
2021|라임병|대구|산길,매우 좋음,2021,3,라임병,대구,0,2385412,0.0000,0.00,,산길,Mountain road,13580,20.63,2021,exact_year,8.252,0,https://neweng-phwr.inforang.com/journal/download_pdf.php?number=23&spage=1596&volume=15,질병 60% + 환경별 진드기점수 40%로 계산
